associated rating,negative bigrams
3,now down
5,no mean
5,not bad
2,nothing Less
5,not broken
5,technology difficult
5,no complaint
1,not serious
2,annoying worst
3,not tough
5,no complaint
3,not flat
4,noticeable black
5,no complaint
5,not disappointed
5,another few
4,not bad
5,another few
5,no complaint
4,Another annoying
4,no excuse
5,now hard
5,minor complaint
5,nothing bad
5,not bad
5,nothing negative
5,not careful
5,not missing
5,nothing bad
5,no complaint
5,no other
5,no trouble
5,nothing bad
5,not usually
3,not bad
5,not complicated
5,another waste
4,notch mess
5,not hard
5,no complaint
5,not complicated
5,know expensive
5,not broken
5,not slow
5,not due
4,not impossible
5,not waste
5,no complaint
5,not small
5,no complaint
5,now due
5,no trouble
5,not disappointed
5,Another slick
5,nothing bad
5,not failed
5,no complaint
3,not half
5,not disappointed
5,not complicated
5,knocking other
5,no complaint
5,nothing negative
3,not long
5,not disappointed
5,not long
5,not disappointed
5,not long
4,no complaint
5,nothing negative
5,not long
5,nothing bad
4,minor other
5,not disappointed
5,not disappointed
5,nothing wrong
2,Another annoying
5,no trouble
5,no complaint
5,not failed
5,not long
5,no bad
5,no complaint
5,not disappointed
3,now slow
5,not disappointed
4,not long
5,nothing wrong
5,no Slick
3,not bad
5,not least
3,not long
4,know wrong
4,minor little
5,no complaint
5,not failed
5,not failed
5,know half
3,not black
5,no complaint
5,not disappointed
5,no complaint
5,not waste
5,not slow
5,not long
4,not bad
5,not disappointed
5,not missing
4,notification mean
5,no annoying
5,no complaint
4,noticed seriously
5,notoriously bad
4,notification Unbelievable
4,no other
5,no trouble
5,not disappointed
5,no other
3,not mad
5,no complaint
4,no annoying
5,no complaint
4,no mean
3,now disappointed
5,not bad
5,not long
4,notification Sadly
4,notification missing
4,normal Slow
5,not long
5,not long
5,no complaint
1,not rough
5,now weird
5,nothing wrong
5,no complaint
2,not mean
3,now missing
5,no complaint
3,no average
2,not least
5,not broken
2,no other
1,nothing wrong
5,nothing wrong
5,no trouble
4,now due
3,nothing wrong
5,no complaint
5,nose down
5,nothing bad
5,no bad
5,no complaint
5,no complaint
